root:x,root:y,root:z,lhipjoint:x,lhipjoint:y,lhipjoint:z,lfemur:x,lfemur:y,lfemur:z,ltibia:x,ltibia:y,ltibia:z,lfoot:x,lfoot:y,lfoot:z,ltoes:x,ltoes:y,ltoes:z,ltoes_end:x,ltoes_end:y,ltoes_end:z,rhipjoint:x,rhipjoint:y,rhipjoint:z,rfemur:x,rfemur:y,rfemur:z,rtibia:x,rtibia:y,rtibia:z,rfoot:x,rfoot:y,rfoot:z,rtoes:x,rtoes:y,rtoes:z,rtoes_end:x,rtoes_end:y,rtoes_end:z,lowerback:x,lowerback:y,lowerback:z,upperback:x,upperback:y,upperback:z,thorax:x,thorax:y,thorax:z,lowerneck:x,lowerneck:y,lowerneck:z,upperneck:x,upperneck:y,upperneck:z,head:x,head:y,head:z,head_end:x,head_end:y,head_end:z,lclavicle:x,lclavicle:y,lclavicle:z,lhumerus:x,lhumerus:y,lhumerus:z,lradius:x,lradius:y,lradius:z,lwrist:x,lwrist:y,lwrist:z,lhand:x,lhand:y,lhand:z,lfingers:x,lfingers:y,lfingers:z,lfingers_end:x,lfingers_end:y,lfingers_end:z,lthumb:x,lthumb:y,lthumb:z,lthumb_end:x,lthumb_end:y,lthumb_end:z,rclavicle:x,rclavicle:y,rclavicle:z,rhumerus:x,rhumerus:y,rhumerus:z,rradius:x,rradius:y,rradius:z,rwrist:x,rwrist:y,rwrist:z,rhand:x,rhand:y,rhand:z,rfingers:x,rfingers:y,rfingers:z,rfingers_end:x,rfingers_end:y,rfingers_end:z,rthumb:x,rthumb:y,rthumb:z,rthumb_end:x,rthumb_end:y,rthumb_end:z,
0.000000,0.000000,0.000000,0.446020,0.902640,2.532504,0.339004,0.813300,2.485221,0.405334,0.427316,2.430534,0.408761,0.047068,2.567227,0.408455,0.040516,2.475899,0.408125,0.062925,2.434962,0.446020,0.902640,2.532504,0.553223,0.813144,2.477622,0.549202,0.427741,2.411828,0.571746,0.067037,2.556670,0.602217,0.046647,2.462313,0.618262,0.026221,2.418642,0.446020,0.902640,2.532504,0.452362,1.002113,2.544080,0.452627,1.100459,2.554449,0.443711,1.198205,2.575848,0.427091,1.287535,2.606123,0.410763,1.381675,2.612317,0.389151,1.474613,2.597416,0.443711,1.198205,2.575848,0.283960,1.250686,2.584816,0.253655,0.997681,2.620527,0.236342,0.836745,2.533174,0.227685,0.756277,2.489497,0.233388,0.722143,2.460448,0.240661,0.692767,2.440173,0.227685,0.756277,2.489497,0.257650,0.718146,2.469909,0.443711,1.198205,2.575848,0.590498,1.296870,2.576833,0.666133,1.041810,2.630022,0.638442,0.887615,2.555498,0.624596,0.810518,2.518236,0.655936,0.784359,2.517336,0.679733,0.761784,2.520129,0.624596,0.810518,2.518236,0.608397,0.853969,2.509083,
0.000000,0.000000,0.000000,0.445896,0.902412,2.532054,0.339154,0.812999,2.484294,0.405920,0.426958,2.430552,0.408842,0.046578,2.566890,0.409040,0.040374,2.475536,0.408928,0.061905,2.434130,0.445896,0.902412,2.532054,0.553397,0.813123,2.477417,0.549585,0.427824,2.411006,0.571624,0.067322,2.556427,0.602810,0.046318,2.462439,0.618865,0.031297,2.416630,0.445896,0.902412,2.532054,0.451514,1.001901,2.543869,0.451542,1.100550,2.550787,0.443130,1.199687,2.564668,0.427102,1.286448,2.601927,0.410584,1.380263,2.611585,0.388898,1.473078,2.596039,0.443130,1.199687,2.564668,0.283742,1.253983,2.566296,0.257395,1.000131,2.599012,0.238748,0.839354,2.511639,0.229425,0.758966,2.467953,0.238451,0.724246,2.440485,0.248399,0.694697,2.421647,0.229425,0.758966,2.467953,0.262548,0.722235,2.450946,0.443130,1.199687,2.564668,0.590812,1.296959,2.561457,0.667162,1.039423,2.599548,0.639239,0.886077,2.523376,0.625277,0.809405,2.485290,0.656540,0.783172,2.483963,0.680281,0.760495,2.486396,0.625277,0.809405,2.485290,0.608993,0.852925,2.476632,
0.000000,0.000000,0.000000,0.445949,0.902472,2.531820,0.339179,0.813192,2.483876,0.405889,0.427060,2.430717,0.408812,0.046664,2.567010,0.409052,0.040550,2.475650,0.408957,0.061942,2.434172,0.445949,0.902472,2.531820,0.553432,0.813076,2.477321,0.549715,0.427786,2.410852,0.571681,0.067437,2.556661,0.602927,0.046550,2.462667,0.618487,0.037217,2.415205,0.445949,0.902472,2.531820,0.451498,1.001953,2.543734,0.451496,1.100597,2.550727,0.443160,1.199739,2.564621,0.427325,1.286571,2.601797,0.410776,1.380391,2.611339,0.388986,1.473162,2.595669,0.443160,1.199739,2.564621,0.283841,1.254249,2.565615,0.256683,1.000561,2.598931,0.237420,0.840171,2.510983,0.227788,0.759976,2.467010,0.239657,0.725199,2.440720,0.251827,0.695806,2.422974,0.227788,0.759976,2.467010,0.263359,0.724605,2.452207,0.443160,1.199739,2.564621,0.590986,1.296813,2.562068,0.666296,1.039038,2.600621,0.639396,0.885882,2.523703,0.625946,0.809304,2.485244,0.656925,0.782724,2.484198,0.680380,0.759775,2.486837,0.625946,0.809304,2.485244,0.609482,0.852635,2.475996,
0.000000,0.000000,0.000000,0.446045,0.902592,2.531712,0.339123,0.813531,2.483700,0.405598,0.427325,2.430784,0.408862,0.046979,2.567209,0.408876,0.040627,2.475865,0.408678,0.062056,2.434407,0.446045,0.902592,2.531712,0.553379,0.812993,2.477254,0.549673,0.427696,2.410823,0.571756,0.067396,2.556737,0.602901,0.046432,2.462727,0.616358,0.050688,2.413915,0.446045,0.902592,2.531712,0.451575,1.002074,2.543621,0.451497,1.100720,2.550583,0.443118,1.199866,2.564428,0.426817,1.286810,2.601138,0.410352,1.380666,2.610478,0.388897,1.473512,2.594792,0.443118,1.199866,2.564428,0.283805,1.254402,2.564741,0.258307,1.000640,2.598800,0.238502,0.840291,2.510899,0.228600,0.760116,2.466948,0.244833,0.725477,2.442905,0.260344,0.696500,2.427198,0.228600,0.760116,2.466948,0.267587,0.726982,2.456099,0.443118,1.199866,2.564428,0.590969,1.296915,2.562486,0.665226,1.038870,2.601265,0.639350,0.885890,2.523647,0.626412,0.809401,2.484838,0.657089,0.782457,2.484321,0.680228,0.759239,2.487362,0.626412,0.809401,2.484838,0.610019,0.852597,2.474864,
0.000000,0.000000,0.000000,0.446099,0.902676,2.531448,0.339354,0.813566,2.483131,0.405889,0.427311,2.430652,0.408880,0.047083,2.567412,0.408949,0.040630,2.476075,0.408782,0.062625,2.434914,0.446099,0.902676,2.531448,0.553627,0.813155,2.477244,0.549886,0.427848,2.410879,0.571850,0.067443,2.556553,0.602994,0.046373,2.462565,0.616491,0.050429,2.413747,0.446099,0.902676,2.531448,0.451575,1.002156,2.543403,0.451528,1.100801,2.550374,0.443216,1.199958,2.564180,0.427003,1.286894,2.600947,0.410450,1.380769,2.609937,0.388870,1.473497,2.593737,0.443216,1.199958,2.564180,0.283965,1.254677,2.563945,0.260422,1.000808,2.598610,0.240119,0.840365,2.510993,0.229967,0.760144,2.467185,0.250571,0.725938,2.446045,0.269335,0.697611,2.432913,0.229967,0.760144,2.467185,0.271909,0.729498,2.461082,0.443216,1.199958,2.564180,0.591184,1.296837,2.562731,0.664634,1.038553,2.601457,0.639991,0.885534,2.523516,0.627670,0.809025,2.484546,0.658156,0.781861,2.484402,0.681096,0.758485,2.487731,0.627670,0.809025,2.484546,0.658363,0.779159,2.464544,
0.000000,0.000000,0.000000,0.446123,0.902652,2.531004,0.339815,0.813234,2.482296,0.406397,0.426926,2.430268,0.408758,0.046851,2.567464,0.409160,0.040600,2.476114,0.409138,0.063939,2.435699,0.446123,0.902652,2.531004,0.554106,0.813485,2.477123,0.550193,0.428139,2.410988,0.571723,0.067583,2.556350,0.602825,0.046513,2.462348,0.616172,0.051361,2.413561,0.446123,0.902652,2.531004,0.451537,1.002116,2.543121,0.451585,1.100755,2.550181,0.443343,1.199924,2.563933,0.427325,1.286949,2.600578,0.410707,1.380836,2.609313,0.388944,1.473473,2.592837,0.443343,1.199924,2.563933,0.284144,1.254792,2.563408,0.262525,1.000853,2.598803,0.241959,0.840452,2.511171,0.231676,0.760252,2.467355,0.252497,0.725897,2.446675,0.271406,0.697487,2.433936,0.231676,0.760252,2.467355,0.273711,0.729622,2.461845,0.443343,1.199924,2.563933,0.591404,1.296665,2.562694,0.664207,1.038243,2.601726,0.640841,0.885248,2.523347,0.629159,0.808751,2.484158,0.659287,0.781192,2.484487,0.681878,0.757534,2.488185,0.629159,0.808751,2.484158,0.659827,0.779491,2.463241,
0.000000,0.000000,0.000000,0.446192,0.902472,2.530656,0.340156,0.812894,2.481651,0.406790,0.426559,2.429894,0.408712,0.046566,2.567325,0.409606,0.040604,2.475960,0.409796,0.062967,2.434997,0.446192,0.902472,2.530656,0.554458,0.813504,2.477015,0.550193,0.428114,2.411161,0.571599,0.067456,2.556289,0.602565,0.046408,2.462238,0.615691,0.052124,2.413485,0.446192,0.902472,2.530656,0.451511,1.001926,2.542897,0.451580,1.100561,2.550011,0.443397,1.199745,2.563695,0.427060,1.286884,2.599923,0.410466,1.380807,2.608318,0.388913,1.473451,2.591611,0.443397,1.199745,2.563695,0.284249,1.254756,2.562792,0.264127,1.000798,2.598929,0.242760,0.840681,2.510970,0.232077,0.760623,2.466991,0.253227,0.726332,2.446538,0.272416,0.698028,2.433984,0.232077,0.760623,2.466991,0.274429,0.730403,2.461638,0.443397,1.199745,2.563695,0.591547,1.296352,2.562734,0.663942,1.037939,2.602572,0.640819,0.885240,2.523546,0.629257,0.808891,2.484033,0.659072,0.781003,2.484854,0.681341,0.757102,2.488924,0.629257,0.808891,2.484033,0.659976,0.779736,2.463045,
0.000000,0.000000,0.000000,0.446300,0.902334,2.530374,0.340307,0.812884,2.481040,0.407144,0.426521,2.429751,0.408767,0.046604,2.567393,0.409946,0.040788,2.476021,0.410313,0.059367,2.433210,0.446300,0.902334,2.530374,0.554623,0.813270,2.477008,0.550272,0.427868,2.411232,0.571741,0.067175,2.556265,0.602518,0.046223,2.462130,0.615688,0.051272,2.413315,0.446300,0.902334,2.530374,0.451646,1.001778,2.542682,0.451571,1.100417,2.549742,0.443066,1.199602,2.563224,0.427012,1.286755,2.599545,0.410311,1.380683,2.607652,0.388429,1.473165,2.590475,0.443066,1.199602,2.563224,0.283738,1.254086,2.562264,0.264394,1.000312,2.600079,0.242611,0.840245,2.512132,0.231719,0.760211,2.468159,0.252255,0.726211,2.446625,0.271022,0.698051,2.433142,0.231719,0.760211,2.468159,0.273771,0.729859,2.461385,0.443066,1.199602,2.563224,0.590897,1.296694,2.562008,0.662621,1.038175,2.602374,0.639756,0.885685,2.522872,0.628323,0.809439,2.483122,0.657960,0.781378,2.484345,0.680032,0.757347,2.488713,0.628323,0.809439,2.483122,0.659168,0.780239,2.462384,
0.000000,0.000000,0.000000,0.446293,0.902292,2.530182,0.340204,0.813066,2.480649,0.406953,0.426644,2.429692,0.408741,0.046777,2.567469,0.409829,0.040820,2.476106,0.410125,0.061211,2.434127,0.446293,0.902292,2.530182,0.554524,0.813115,2.476817,0.550376,0.427714,2.411023,0.571794,0.067096,2.556249,0.602468,0.046213,2.462065,0.615754,0.050408,2.413201,0.446293,0.902292,2.530182,0.451577,1.001739,2.542491,0.451545,1.100377,2.549566,0.443279,1.199569,2.563141,0.428069,1.286972,2.599224,0.411292,1.380888,2.607322,0.388949,1.473279,2.590250,0.443279,1.199569,2.563141,0.284137,1.254571,2.561294,0.265776,1.001017,2.601026,0.243702,0.840980,2.513098,0.232664,0.760961,2.469133,0.252660,0.727370,2.446478,0.271062,0.699447,2.432032,0.232664,0.760961,2.469133,0.274467,0.730626,2.460898,0.443279,1.199569,2.563141,0.591428,1.296183,2.562965,0.662734,1.037617,2.603765,0.639982,0.885369,2.523767,0.628606,0.809245,2.483769,0.658069,0.781010,2.485166,0.679962,0.756837,2.489653,0.628606,0.809245,2.483769,0.659459,0.779807,2.463382,
0.000000,0.000000,0.000000,0.446353,0.902298,2.530068,0.340264,0.813132,2.480429,0.406657,0.426625,2.429649,0.408716,0.046755,2.567414,0.409648,0.040613,2.476061,0.409847,0.062696,2.434947,0.446353,0.902298,2.530068,0.554583,0.813200,2.476570,0.550416,0.427785,2.410857,0.571794,0.067334,2.556504,0.602360,0.046575,2.462258,0.615555,0.050996,2.413389,0.446353,0.902298,2.530068,0.451757,1.001748,2.542302,0.451600,1.100392,2.549293,0.442885,1.199542,2.562889,0.428107,1.287169,2.598609,0.411324,1.381099,2.606520,0.388672,1.473407,2.589405,0.442885,1.199542,2.562889,0.283480,1.253787,2.561312,0.265904,1.000340,2.602070,0.243357,0.840298,2.514270,0.232084,0.760277,2.470370,0.251686,0.727249,2.446570,0.269840,0.699695,2.431139,0.232084,0.760277,2.470370,0.273750,0.730188,2.460665,0.442885,1.199542,2.562889,0.590572,1.296860,2.562475,0.661223,1.038221,2.603947,0.638745,0.886202,2.523438,0.627506,0.810193,2.483183,0.656765,0.781764,2.484913,0.678440,0.757441,2.489641,0.627506,0.810193,2.483183,0.658434,0.780602,2.463133,
